ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
0	B	MANIPULATOR	0.0765	0.847	START_SIGNAL
0	A	INSTRUCTOR	0.3553	1.1257	START_SIGNAL
0	B	MANIPULATOR	1.234	1.3647	BREATH
0	B	MANIPULATOR	2.2496	2.9761	okay
0	B	MANIPULATOR	5.1152	5.5995	yeah
0	A	INSTRUCTOR	5.6197	7.9404	okay I guess I will start to describe now
0	B	MANIPULATOR	8.0211	8.5054	okay
0	A	INSTRUCTOR	9.4847	10.2691	uh
1	A	INSTRUCTOR	12.5511	12.9434	BREATH
1	A	INSTRUCTOR	14.2785	16.7943	can I describe the position no perhaps not
1	A	INSTRUCTOR	16.8391	28.1325	eh okay um BREATH it's like a V with a spike in the middle it's orange
1	B	MANIPULATOR	23.0352	23.6002	CLICK yes
1	B	MANIPULATOR	25.6586	26.264	okay
1	B	MANIPULATOR	28.8875	31.3091	it's orange okay can I can I ask questions
1	A	INSTRUCTOR	32.8024	33.65	yeah uh
1	B	MANIPULATOR	32.8226	35.7689	yeah uh is it is it like uh-huh
1	B	MANIPULATOR	38.5336	41.5203	okay but is it like uh between two green pieces
1	A	INSTRUCTOR	43.0338	45.6774	uh I don't think they have the same eh position
1	B	MANIPULATOR	45.6169	46.1012	okay
1	A	INSTRUCTOR	47.2515	60.7117	um but it's eh CLICK a V but in the middle there's eh like a small triangle or spike or you it's a you can also say it has A upside down wi- with a spike
1	B	MANIPULATOR	55.9491	56.4536	okay
1	B	MANIPULATOR	59.5412	62.7499	okay okay I think I go- I think I know what it is
1	A	INSTRUCTOR	64.7679	65.4944	yeah yea- yea-
1	B	MANIPULATOR	65.6558	67.9967	ooh ooh ooh good jo-
2	B	INSTRUCTOR	69.7928	82.244	okay so now I eh I think that that the figure that I can describe it looks like ah a turkey it's like the animal the goose the ga- the animal that does kikeriki in the morning
2	A	MANIPULATOR	79.6407	84.04	uh-huh yeah okay yeah
2	B	INSTRUCTOR	84.9279	87.0267	it's like yeah brown orange
2	A	MANIPULATOR	87.6926	88.2779	CLICK uh
2	A	MANIPULATOR	89.5492	93.1211	mm-hmm I don't think ours our pieces have the same kind of action
2	B	INSTRUCTOR	93.9485	94.4732	could be
2	A	MANIPULATOR	95.119	98.5496	uh but e- from the side you would say
2	B	INSTRUCTOR	99.0339	102.5655	I mean yeah it's yeah it's from the side it's like uh if you have you been to Portugal
2	A	MANIPULATOR	103.2314	105.1889	no LAUGHTER
2	B	INSTRUCTOR	103.9175	112.0905	CLICK GROAN it's like uh the typical animal for Portugal it's like a a co- a co- a cock it's a or a duck or something like that
2	A	MANIPULATOR	108.902	111.0008	uh okay okay I I think I know
2	B	INSTRUCTOR	114.6534	116.4091	yeah right
