ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
1	A	INSTRUCTOR	6.6145	17.2341	okay so the piece is uh the one at the bottom totally at the left like a a mou-
1	B	MANIPULATOR	7.9541	8.2742	okay
1	B	MANIPULATOR	14.1204	14.47	okay
1	B	MANIPULATOR	16.266	17.2369	like a castle
1	A	INSTRUCTOR	17.5982	18.8726	yes yes
1	B	MANIPULATOR	17.601	18.754	a mountain yeah
2	B	INSTRUCTOR	24.519	30.7694	okay it's uh nearly at the same place it's a blue green one like a bit inclined
2	B	INSTRUCTOR	32.6506	36.2612	the the the more at the bottom on the left
2	A	MANIPULATOR	39.9601	44.1473	I have noth- I have nothing at the bottom left I have nothing
2	B	INSTRUCTOR	42.4813	43.1792	yeah
2	B	INSTRUCTOR	43.3612	45.9403	do you see the do you see the big yellow one
2	A	MANIPULATOR	47.758	48.9717	bottom left no
2	B	INSTRUCTOR	48.4586	52.2514	no you see the big the biggest yellow one
2	A	MANIPULATOR	52.0058	53.0375	like a uh TV
2	B	INSTRUCTOR	53.1616	53.7988	yes
2	B	INSTRUCTOR	53.8898	56.3475	you go down this one this one does like uh a tree
2	A	MANIPULATOR	54.1601	54.7063	yes
2	B	INSTRUCTOR	56.6206	59.7458	it's not this one it's still more on the bottom
2	A	MANIPULATOR	61.3208	66.4789	okay it's like um a diamond okay
2	B	INSTRUCTOR	63.5992	65.45	like a d- diamond
2	A	MANIPULATOR	71.0908	72.3348	yes I click
2	B	INSTRUCTOR	73.4906	74.3099	okay good
2	B	INSTRUCTOR	75.0684	75.5539	your turn
3	A	INSTRUCTOR	77.8874	87.8395	ah it's uh the one at the totally at the left like uh like an animal whose whose a chicken cocorico
3	B	MANIPULATOR	85.4756	86.2645	a chicken
3	B	MANIPULATOR	87.4479	88.7829	yeah okay
4	B	INSTRUCTOR	94.8209	100.4948	uh it's the big blue one at the bottom which looks like a man with a hat
4	B	INSTRUCTOR	100.9196	102.6491	looking yeah
4	A	MANIPULATOR	101.2506	103.4352	and where we see the nose
4	B	INSTRUCTOR	103.6504	106.2598	yeah yeah I don't on top of the two mountains
4	A	MANIPULATOR	106.3783	106.8335	okay
4	B	INSTRUCTOR	106.8969	107.5948	yeah
4	B	INSTRUCTOR	108.0803	108.7175	great
5	A	INSTRUCTOR	112.2646	116.7856	ah it's uh it's uh the diamond with is at the left
5	B	MANIPULATOR	115.5747	116.2726	the same
5	B	MANIPULATOR	116.8187	117.82	on the on top
