ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
0	B	MANIPULATOR	0.0	0.7698	START_SIGNAL
0	B	MANIPULATOR	1.1438	2.2691	uh that was loud LAUGHTER
0	B	MANIPULATOR	5.8185	5.9901	NOISE
0	B	MANIPULATOR	6.7068	6.8608	BREATH
1	B	MANIPULATOR	14.2597	14.3603	NOISE
1	A	INSTRUCTOR	17.5966	17.6624	CLICK
1	B	MANIPULATOR	17.7158	18.1141	I start
1	B	MANIPULATOR	18.7199	19.0896	NOISE oh
1	A	INSTRUCTOR	19.2271	20.3894	oh um
1	B	MANIPULATOR	19.5475	19.5783	NOISE
1	A	INSTRUCTOR	24.8086	26.4556	I'm sorry am I supposed to select something
1	A	INSTRUCTOR	29.3408	29.6139	a what
1	A	INSTRUCTOR	31.2095	31.4723	okay
1	A	INSTRUCTOR	34.1131	36.5774	okay the shape is red
1	B	MANIPULATOR	37.214	37.5425	okay
1	A	INSTRUCTOR	39.4605	44.4259	and it has uh like a triangular piece in the middle
1	B	MANIPULATOR	41.9371	42.4628	NOISE
1	B	MANIPULATOR	44.775	45.1159	okay
1	A	INSTRUCTOR	46.0338	50.8925	and it has sharp corners on either of the two top sides
1	B	MANIPULATOR	50.9828	51.9665	so it looks like a wing
1	B	MANIPULATOR	52.4963	54.441	W with a triangle in between
1	A	INSTRUCTOR	52.6934	53.139	yeah
1	A	INSTRUCTOR	54.6114	54.864	yeah
1	B	MANIPULATOR	55.0981	55.3794	all right
1	B	MANIPULATOR	56.6239	57.5664	what do I do select
2	B	INSTRUCTOR	64.2856	71.9596	this object is red and uh the other red object LAUGHTER which is big under the V
2	A	MANIPULATOR	69.327	69.9122	LAUGHTER
2	A	MANIPULATOR	70.4502	70.6022	BREATH
2	B	INSTRUCTOR	73.9351	75.8962	LAUGHTER SIGH BREATH
2	A	MANIPULATOR	74.547	74.9988	LAUGHTER
2	A	MANIPULATOR	75.4691	76.2186	BREATH okay
3	A	INSTRUCTOR	82.2785	87.63	this is a pink object that kind of looks like a bunny rabbit with trailing ears
3	A	INSTRUCTOR	87.8087	87.8477	CLICK
3	A	INSTRUCTOR	88.4391	88.5808	BREATH
3	B	MANIPULATOR	88.8929	89.8006	uh
3	B	MANIPULATOR	91.2114	91.6118	okay
3	A	INSTRUCTOR	93.959	95.4355	no LAUGHTER
3	B	MANIPULATOR	94.9344	95.38	oops
3	A	INSTRUCTOR	96.7805	96.8093	NOISE
3	B	MANIPULATOR	97.6512	98.4172	mm
3	B	MANIPULATOR	99.1749	101.4359	ah pink not magenta right
3	B	MANIPULATOR	102.6166	102.9616	got it
3	A	INSTRUCTOR	103.0766	103.2943	oh
3	B	MANIPULATOR	104.6476	104.97	LAUGHTER
3	A	INSTRUCTOR	105.1486	105.7811	whoops LAUGHTER
4	B	INSTRUCTOR	105.7318	105.931	LAUGHTER
4	B	INSTRUCTOR	106.6559	106.8839	BREATH
4	B	INSTRUCTOR	109.5863	116.3896	um this is magenta which is a triangle on the left corner and a square on the center both combined together
4	A	MANIPULATOR	118.6033	118.9894	okay
4	B	INSTRUCTOR	119.6034	119.8539	'kay
4	A	MANIPULATOR	121.3037	121.7042	yay
4	B	INSTRUCTOR	122.0266	122.6098	LAUGHTER
5	A	INSTRUCTOR	124.8378	125.3019	okay
5	A	INSTRUCTOR	126.4482	131.1722	this is a red shape that doesn't look like anything in particular
5	B	MANIPULATOR	131.5245	132.0304	okay
5	A	INSTRUCTOR	132.0033	134.3884	there's also an orange shape that looks like it LAUGHTER
5	B	MANIPULATOR	135.2287	135.8249	okay
5	B	MANIPULATOR	138.1378	138.5624	this
5	A	INSTRUCTOR	139.3394	139.6465	yeah
5	B	MANIPULATOR	139.9085	140.7397	oh LAUGHTER
6	B	INSTRUCTOR	147.6782	150.5241	uh the same bunny rabbit which you gave me
6	A	MANIPULATOR	150.8945	151.816	LAUGHTER
6	B	INSTRUCTOR	151.1294	151.5631	LAUGHTER
6	B	INSTRUCTOR	152.8911	153.1531	BREATH
7	A	INSTRUCTOR	158.8539	161.492	uh this one's blue and it's shaped like a V
7	B	MANIPULATOR	161.7088	162.1606	okay
8	B	INSTRUCTOR	167.7348	170.6349	this is a set of three mountains in magenta color
8	B	INSTRUCTOR	171.6649	173.0291	the middle mountain is the highest
9	A	INSTRUCTOR	178.8021	180.9252	this is the same shape as before
9	A	INSTRUCTOR	181.0608	182.4611	it's blue and it's a V
9	B	MANIPULATOR	183.0845	183.9518	okay LAUGHTER
9	A	INSTRUCTOR	183.744	184.0693	LAUGHTER
9	B	MANIPULATOR	184.8101	185.298	LAUGHTER
10	B	INSTRUCTOR	191.7125	192.8689	it's the same shape as before
10	B	INSTRUCTOR	192.8779	195.1365	three mountains middle one the tallest one
10	A	MANIPULATOR	196.1755	196.3652	hmm
11	A	INSTRUCTOR	202.3009	210.5223	this is a light green shape that's mostly square but it kind of looks like a bird with a square head LAUGHTER
11	A	INSTRUCTOR	211.0463	213.1875	it looks like it has a beak poking out of the rights
11	B	MANIPULATOR	212.5641	212.9887	okay
11	A	INSTRUCTOR	213.6754	213.847	yeah
11	A	INSTRUCTOR	214.1181	214.9673	LAUGHTER
11	B	MANIPULATOR	214.4794	215.6268	LAUGHTER LAUGHTER
11	B	MANIPULATOR	215.7623	216.8013	I thought it was a human head
12	A	MANIPULATOR	217.3524	217.8222	oh LAUGHTER
12	B	INSTRUCTOR	218.3733	225.5829	uh now it's a cyan color with a a square but on the top corners are shaved off
12	B	INSTRUCTOR	226.8748	227.0465	yeah
13	A	INSTRUCTOR	232.3136	235.9184	uh this one's a red weird shape
13	A	INSTRUCTOR	235.9184	237.3458	I think I had that one before
13	A	INSTRUCTOR	237.9602	238.2764	yeah
13	A	INSTRUCTOR	239.2792	239.74	LAUGHTER
13	B	MANIPULATOR	239.7851	240.2368	LAUGHTER
13	B	MANIPULATOR	241.5198	241.7185	BREATH
14	B	INSTRUCTOR	243.688	244.456	it's the bunny
15	A	INSTRUCTOR	254.7011	259.0557	um this one's a blueish purple color
15	A	INSTRUCTOR	260.4109	263.04	uh it's like two triangles put together
15	B	MANIPULATOR	261.1427	261.3776	mm-hmm
15	B	MANIPULATOR	262.8954	263.311	okay
15	A	INSTRUCTOR	263.7266	263.835	yeah
15	A	INSTRUCTOR	264.3138	265.66	I think it's the only one in that color LAUGHTER
15	B	MANIPULATOR	265.3618	266.5544	LAUGHTER
16	B	INSTRUCTOR	266.708	267.0784	yeah
16	B	INSTRUCTOR	269.2648	271.1349	it's a chicken yellow chicken
16	B	INSTRUCTOR	272.1829	272.7611	hen or
16	A	MANIPULATOR	272.7159	273.7459	bwok LAUGHTER
16	B	INSTRUCTOR	273.511	274.3422	LAUGHTER
17	B	MANIPULATOR	276.2484	276.8176	NOISE
17	A	INSTRUCTOR	277.7211	281.7776	okay this is a cyan rectangle with the top corners shaved off
17	B	MANIPULATOR	283.4489	283.7832	okay
18	B	INSTRUCTOR	291.3993	293.6399	oh it's that weird red shape
18	B	INSTRUCTOR	293.7935	295.6636	the big one which LAUGHTER
18	A	MANIPULATOR	294.706	295.4649	LAUGHTER
18	B	INSTRUCTOR	296.1605	296.296	LAUGHTER
18	B	INSTRUCTOR	297.1724	297.588	BREATH
19	A	INSTRUCTOR	300.9578	307.1103	uh this is a blue shape that looks like it's doing yoga LAUGHTER
19	B	MANIPULATOR	306.496	309.0889	s- is it the one which is not the V but same color
19	A	INSTRUCTOR	308.3571	309.9653	BREATH yeah the one that's not a V
19	B	MANIPULATOR	309.1431	309.378	okay
19	B	MANIPULATOR	309.9562	310.4712	okay LAUGHTER
19	A	INSTRUCTOR	310.7784	311.0404	LAUGHTER
19	B	MANIPULATOR	311.5915	311.9528	BREATH
20	B	INSTRUCTOR	315.3589	322.5323	it's a hexagon but with something shaved off on top which are sharpened co- corners and it's orange in color
20	B	INSTRUCTOR	326.0828	327.962	no it's the wrong V
20	A	MANIPULATOR	327.5284	327.9349	oh
20	B	INSTRUCTOR	328.1517	328.4408	oh
20	A	MANIPULATOR	328.2602	329.9586	I don't see anything else that's orange
20	A	MANIPULATOR	330.3562	331.4313	oh just kidding
20	B	INSTRUCTOR	331.6662	331.8559	oh
20	B	INSTRUCTOR	332.2263	333.4189	okay LAUGHTER
20	A	MANIPULATOR	333.6267	333.9158	oops
21	A	INSTRUCTOR	337.8909	341.9836	um it's the red shape shaped like the wrong orange shape LAUGHTER
21	B	MANIPULATOR	342.0739	342.8328	okay LAUGHTER
21	A	INSTRUCTOR	343.2846	344.3868	so the same one as before
