ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
1	A	INSTRUCTOR	20.0761	20.6045	BREATH
1	A	INSTRUCTOR	20.6045	21.5812	okay it looks uh
1	A	INSTRUCTOR	21.8138	23.3952	it looks like a computer uh
1	A	INSTRUCTOR	23.7526	27.0842	um it looks like a screen with a with a platform
1	B	MANIPULATOR	27.2115	27.4906	uh-huh
1	B	MANIPULATOR	27.6986	27.9752	okay
1	A	INSTRUCTOR	27.7109	28.0364	below
1	B	MANIPULATOR	28.8565	29.4024	okay then I
1	B	MANIPULATOR	29.4832	30.9642	if I want I can click on it right
1	B	MANIPULATOR	31.067	31.4097	like that
1	A	INSTRUCTOR	34.3864	35.0082	now your turn
1	A	INSTRUCTOR	35.0944	35.4239	LAUGHTER
2	B	INSTRUCTOR	40.3153	49.3702	it looks like a like a sort of a crown mm CLICK uh with more than three spikes
2	B	INSTRUCTOR	50.0532	51.5758	four s- spikes
2	A	MANIPULATOR	56.6283	57.4166	this one BREATH
2	B	INSTRUCTOR	59.064	60.0408	you're just amazing
3	B	MANIPULATOR	60.5915	61.3528	okay your turn
3	A	INSTRUCTOR	61.5707	62.3785	mm ah uh
3	A	INSTRUCTOR	63.3626	69.786	it looks like a French soldier with a hat and he's looking towards the right
3	A	INSTRUCTOR	70.4812	70.8778	LAUGHTER
4	B	INSTRUCTOR	77.6537	77.8691	BREATH
4	B	INSTRUCTOR	80.3072	80.5349	um
4	B	INSTRUCTOR	80.7821	81.6732	CLICK uh
4	B	INSTRUCTOR	83.5214	83.8445	okay
4	B	INSTRUCTOR	84.1064	84.2362	CLICK
4	B	INSTRUCTOR	85.3181	91.1173	it looks like a half upper half of Yugoslav
4	B	INSTRUCTOR	91.1246	95.1686	red star or no on uh on uh on the former Yugoslav flag
4	B	INSTRUCTOR	96.4832	103.4231	upper half of a star like lower part of the star is somehow um disassembled counting the pieces
4	A	MANIPULATOR	104.8869	105.7486	this one LAUGHTER
4	B	INSTRUCTOR	106.434	106.6666	no
4	B	INSTRUCTOR	107.1611	109.2247	so upper half it has three
4	B	INSTRUCTOR	109.4842	114.9749	it looks like a star so the the upper half of the star but lower part of the star is like twisted out
4	B	INSTRUCTOR	115.8072	117.2906	if I may say so
4	A	MANIPULATOR	119.2367	120.304	uh this one
4	B	INSTRUCTOR	121.2367	121.5476	yes
4	A	MANIPULATOR	121.8267	122.2844	LAUGHTER
4	A	MANIPULATOR	123.5867	123.8535	BREATH
4	B	INSTRUCTOR	125.3664	125.949	all right
5	A	INSTRUCTOR	126.5487	127.8412	okay this one is als-
5	A	INSTRUCTOR	127.9073	129.403	uh this one is also a crown
5	B	MANIPULATOR	129.026	129.4104	did you
5	B	MANIPULATOR	129.4765	131.0652	did you know I have selected the thing
5	A	INSTRUCTOR	131.6674	132.6245	uh-huh you have to
5	B	MANIPULATOR	133.1875	134.6783	okay so it's it's it's
5	A	INSTRUCTOR	135.7285	136.8521	oh I think it's mine
5	B	MANIPULATOR	136.7444	137.1067	okay
5	A	INSTRUCTOR	137.4004	137.655	yeah
5	A	INSTRUCTOR	139.6256	140.6904	okay now I have to it
5	A	INSTRUCTOR	140.9401	143.7406	so it's like a crown with four spikes
5	A	INSTRUCTOR	145.9094	146.2987	okay
5	B	MANIPULATOR	148.0563	148.7368	my turn now
5	A	INSTRUCTOR	148.5899	148.9106	mm-hmm
6	B	INSTRUCTOR	150.6291	150.8469	uh-huh
6	B	INSTRUCTOR	152.656	154.0293	again a soldier
6	B	INSTRUCTOR	154.4307	155.2214	French soldier
6	B	INSTRUCTOR	155.6914	156.2373	Pinocchio
7	B	MANIPULATOR	163.3559	163.8602	yeah okay
7	B	MANIPULATOR	164.0609	164.4991	um
7	A	INSTRUCTOR	164.0609	165.6496	no no now it's my turn to tell you
7	B	MANIPULATOR	166.149	166.5382	okay
7	A	INSTRUCTOR	167.1477	168.1098	uh ooh uff
7	A	INSTRUCTOR	168.9886	170.6703	this one looks like um
7	A	INSTRUCTOR	171.1599	173.9065	like a cutout American state
7	A	INSTRUCTOR	174.0754	175.691	you know when they have these like uh
7	B	MANIPULATOR	175.997	176.5527	mm-hmm yes
7	A	INSTRUCTOR	176.5356	177.1476	middle
7	A	INSTRUCTOR	178.2002	178.8831	um
7	A	INSTRUCTOR	179.2724	185.9552	yeah mi- like mid American state with cutout borders of uh in the desert
7	B	MANIPULATOR	186.2032	186.6749	BREATH
7	B	MANIPULATOR	186.6749	187.5709	okay okay I uh
7	A	INSTRUCTOR	186.6749	188.1657	like Texas or something
7	B	MANIPULATOR	187.6223	191.4337	Texa- uh yeah Arizona New Mexico and that stuff uh for for for
7	A	INSTRUCTOR	188.1804	188.3811	yeah
7	A	INSTRUCTOR	189.8058	190.1975	yes
7	A	INSTRUCTOR	193.348	193.9526	okay good
8	B	INSTRUCTOR	202.0651	203.551	BREATH looks like um
8	B	INSTRUCTOR	203.7664	209.9254	CLICK um looks like a like a precious stone ready to be put in some kind of expensive necklace
8	B	INSTRUCTOR	210.7553	216.1407	you know a little bit of uh what is it one two six sextagram and stuff like that
8	A	MANIPULATOR	216.9209	218.0888	is it big or small
8	B	INSTRUCTOR	217.6829	218.1285	bigger
8	A	MANIPULATOR	219.6584	219.8542	CLICK
8	A	MANIPULATOR	220.0721	222.5176	COUGH COUGH COUGH COUGH
8	A	MANIPULATOR	224.1504	224.4441	COUGH
9	A	INSTRUCTOR	226.023	227.4624	again crown four spikes
9	B	MANIPULATOR	233.0021	233.1343	CLICK
10	B	INSTRUCTOR	233.4109	234.0719	French soldier
11	A	INSTRUCTOR	240.9824	243.1586	yeah this is um symbol of victory
11	A	INSTRUCTOR	243.467	243.6433	V
11	B	MANIPULATOR	249.0287	249.1732	CLICK
12	B	INSTRUCTOR	249.6114	250.1646	ah okay
12	B	INSTRUCTOR	250.8647	256.4533	this one looks like um kind of uh like a Triglav of mountain range in Slovenian coat of arms
12	B	INSTRUCTOR	258.211	261.5818	you know Slo- Slom- Slovenian flag Slovenian coat of arms
12	B	INSTRUCTOR	262.5928	263.8926	uh three spikes
12	A	MANIPULATOR	265.4965	266.7963	is it this one
12	B	INSTRUCTOR	267.1949	267.5376	big
12	A	MANIPULATOR	271.1361	273.1336	oh I didn't see it sorry LAUGHTER
12	B	INSTRUCTOR	273.6281	273.9389	all right
13	A	INSTRUCTOR	276.7688	280.2938	ah again um computer screen with the platform
14	B	INSTRUCTOR	286.8273	287.738	Yugoslav star
14	B	INSTRUCTOR	288.4576	289.5812	cutout Yugoslav star
15	A	INSTRUCTOR	295.3755	295.6277	uh
15	A	INSTRUCTOR	296.0242	301.9996	this one one looks like um COUGH like a big chicken facing towards right LAUGHTER
15	B	MANIPULATOR	303.0351	303.7254	rooster yeah
