ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
0	B	MANIPULATOR	0.0	0.7695	START_SIGNAL
0	A	INSTRUCTOR	0.1892	0.7749	Sebastian
0	B	MANIPULATOR	0.7141	1.0424	CLICK BREATH
0	A	INSTRUCTOR	1.9292	2.6297	START_SIGNAL
0	A	INSTRUCTOR	7.0378	7.6507	'kay
0	A	INSTRUCTOR	10.418	12.4795	okay I'm gonna start okay Sebastian
0	B	MANIPULATOR	11.7737	12.9995	oh okay
0	A	INSTRUCTOR	13.1852	13.7052	mm-hmm
1	A	INSTRUCTOR	15.2908	15.7594	uh
1	A	INSTRUCTOR	16.9397	29.5454	it's with eh GROAN okay rectangle but three si- eh two sides tapered on the top and it's magen- pink colored on on pink colored with two tapered sides do you get it
1	B	MANIPULATOR	29.4914	32.9644	rectangle it's like dark p- pink or
1	A	INSTRUCTOR	32.9694	38.637	yeah dark pink which has eh if you take a rectangle and then you take the top two sides and taper it
1	B	MANIPULATOR	38.666	40.0032	ah okay I think I know
1	A	INSTRUCTOR	41.3776	41.879	okay
2	A	MANIPULATOR	46.4849	47.042	'kay
2	B	INSTRUCTOR	47.3051	51.4807	okay i- so it's kind of eh small yellow shape
2	A	MANIPULATOR	51.5179	51.945	yeah
2	B	INSTRUCTOR	52.6508	58.5753	eh it's it's not any rectangle or it's kind of
2	A	MANIPULATOR	54.9351	56.2166	the the
2	A	MANIPULATOR	58.5753	60.3582	eh there only two shapes at me
2	B	INSTRUCTOR	60.2096	60.6739	yeah
2	A	MANIPULATOR	60.5996	64.314	so one is with the other a triangular base is it that one
2	B	INSTRUCTOR	64.3697	69.0128	no the one that is like very half like eh many peaks
2	A	MANIPULATOR	68.2455	68.3716	gl-
2	A	MANIPULATOR	68.9844	70.1457	yeah okay I got it
2	B	INSTRUCTOR	70.2385	71.1671	okay great
2	A	MANIPULATOR	71.3721	72.4264	but how do I select it
2	A	MANIPULATOR	72.6606	73.0841	okay yeah
2	A	MANIPULATOR	73.4986	73.823	okay
3	A	INSTRUCTOR	74.2465	74.8258	yeah got it
3	A	INSTRUCTOR	75.3644	80.936	so is eh so it's like a pyramid but at the base two two triangles are absent are removed
3	B	MANIPULATOR	80.806	82.0132	okay I think I know
3	A	INSTRUCTOR	81.326	81.7532	yeah
3	A	INSTRUCTOR	82.0875	82.7932	you know okay
4	B	INSTRUCTOR	87.1576	97.298	okay so it's eh blue si- eh object similar to camera symbol like rectangle and eh triangle
4	A	MANIPULATOR	89.9249	97.1866	mm-hmm SNIFF camera's yeah ye- and a triangle
4	B	INSTRUCTOR	97.5023	97.7623	yeah
4	A	MANIPULATOR	97.9851	98.468	okay
4	B	INSTRUCTOR	98.8395	99.3223	oh
4	A	MANIPULATOR	101.0495	101.9039	uh
4	B	INSTRUCTOR	103.9839	104.5039	uh
4	A	MANIPULATOR	105.9897	107.754	you have to confirm or
4	B	INSTRUCTOR	107.7726	109.9641	hmm d- you selected wrong object
4	A	MANIPULATOR	110.4597	111.2075	is it okay
4	B	INSTRUCTOR	111.9699	115.5543	blue blue rectangle and triangle at the bottom
4	A	MANIPULATOR	112.1086	112.4899	oh i-
4	A	MANIPULATOR	116.5057	117.2806	at the bottom
4	B	INSTRUCTOR	117.6529	118.1358	yeah
4	A	MANIPULATOR	117.9924	118.7858	oh okay
4	A	MANIPULATOR	119.5659	119.9745	SNIFF
4	B	INSTRUCTOR	121.6958	122.2094	no
